EmployeeID,EmployeeLevel,TenureYears,ProductGroup,Country,WorkLocation,TeamSize,PerformanceRating,SatisfactionScore
382947,1,3,GroupD,United States,hybrid,1,4.0,3
899967,1,2,GroupB,United States,remote,5,4.0,4
718874,2,5,GroupB,United States,hybrid,17,4.0,5
161189,1,1,GroupB,Canada,hybrid,7,,5
672258,1,1,GroupC,United States,onsite,14,,4
710993,1,2,GroupB,Canada,onsite,5,3.0,4
670760,1,4,GroupA,Canada,remote,7,4.0,3
775180,1,3,GroupA,Canada,onsite,7,5.0,5
374825,3,4,GroupB,United States,hybrid,6,3.0,4
571795,3,2,GroupA,United States,hybrid,6,4.0,5
373145,1,1,GroupA,United States,onsite,5,,4
329359,1,2,GroupC,India,onsite,10,2.0,2
888988,1,1,GroupA,India,remote,5,,5
499677,1,2,GroupA,United States,remote,4,5.0,5
220017,2,1,GroupB,United States,hybrid,19,,5
995419,1,1,GroupA,Canada,hybrid,7,,4
693507,2,2,GroupB,United States,onsite,2,1.0,4
843755,2,1,GroupA,Canada,remote,5,,5
586035,2,3,GroupB,Canada,remote,5,5.0,5
370944,1,6,GroupB,Canada,remote,5,3.0,4
113845,2,3,GroupB,Canada,hybrid,9,3.0,1
552687,1,2,GroupA,India,remote,13,5.0,3
746108,2,1,GroupA,United States,onsite,4,,2
476034,4,6,GroupA,India,onsite,7,1.0,2
964116,1,2,GroupC,India,hybrid,16,3.0,1
297133,1,1,GroupC,United States,onsite,12,,2
796085,3,8,GroupB,United States,onsite,8,4.0,2
698211,4,5,GroupB,United States,remote,2,1.0,2
715306,2,4,GroupA,Canada,hybrid,8,1.0,5
650397,3,6,GroupA,United States,remote,4,4.0,1
978244,2,2,GroupA,Canada,remote,18,5.0,4
797875,3,7,GroupB,Canada,hybrid,4,3.0,3
703930,1,1,GroupB,United States,onsite,5,,3
516186,1,6,GroupB,Canada,hybrid,3,5.0,1
369475,1,4,GroupC,India,onsite,19,3.0,3
595077,2,8,GroupA,Canada,hybrid,13,5.0,4
467623,2,3,GroupB,Canada,remote,9,1.0,4
859803,1,1,GroupA,United States,hybrid,4,,4
534981,1,3,GroupA,Canada,onsite,8,5.0,5
599849,2,1,GroupA,United States,onsite,7,,5
301421,3,5,GroupC,United States,onsite,7,5.0,3
683505,1,5,GroupB,United States,hybrid,4,2.0,4
913889,2,8,GroupB,United States,hybrid,4,4.0,2
361172,1,2,GroupC,United States,onsite,1,3.0,2
339396,2,1,GroupA,India,hybrid,2,,4
659560,2,1,GroupA,India,remote,2,,5
104711,1,1,GroupB,Canada,onsite,3,,2
899100,1,1,GroupA,Canada,onsite,1,,4
413062,1,4,GroupB,Canada,remote,7,4.0,4
232973,1,2,GroupC,United States,onsite,11,2.0,2
405230,1,1,GroupA,United States,hybrid,4,,5
842915,1,5,GroupB,United States,onsite,1,3.0,2
666528,3,1,GroupC,United States,hybrid,12,,1
876753,2,2,GroupC,India,onsite,12,1.0,2
102882,1,2,GroupB,Canada,remote,5,3.0,5
675818,3,7,GroupA,United States,remote,5,1.0,4
363945,3,1,GroupB,Canada,onsite,3,,4
283225,1,1,GroupB,United States,hybrid,5,,4
459709,1,2,GroupA,India,hybrid,7,4.0,4
748115,3,3,GroupA,India,hybrid,11,2.0,4
494984,1,1,GroupC,United States,onsite,11,,2
757603,1,3,GroupA,Canada,remote,11,5.0,4
902525,3,2,GroupB,United States,hybrid,4,4.0,5
363483,3,1,GroupC,United States,onsite,12,,2
487023,1,1,GroupB,United States,hybrid,7,,4
207310,2,1,GroupA,India,onsite,6,,3
833578,1,2,GroupA,India,remote,3,2.0,5
123889,1,1,GroupB,Canada,hybrid,3,,5
538164,2,7,GroupA,Canada,onsite,7,1.0,4
420448,3,5,GroupA,India,onsite,6,3.0,4
929131,1,3,GroupB,United States,remote,9,2.0,4
678914,2,1,GroupC,United States,onsite,14,,2
227456,2,9,GroupA,United States,hybrid,6,3.0,2
585384,2,7,GroupB,United States,onsite,10,2.0,3
959197,1,3,GroupC,United States,onsite,10,3.0,4
113040,2,4,GroupC,United States,onsite,15,4.0,2
697975,2,1,GroupA,India,hybrid,3,,4
231355,1,3,GroupA,United States,remote,3,3.0,1
538511,1,2,GroupA,United States,remote,6,4.0,3
107888,1,3,GroupB,United States,hybrid,10,3.0,3
265893,2,5,GroupA,United States,hybrid,9,4.0,5
753630,2,3,GroupA,Canada,hybrid,7,3.0,4
793636,3,5,GroupB,United States,hybrid,5,4.0,2
873190,1,4,GroupA,United States,hybrid,8,4.0,3
285925,1,1,GroupB,United States,onsite,6,,3
190701,2,2,GroupA,India,hybrid,5,4.0,3
524691,2,11,GroupC,United States,onsite,14,1.0,1
938170,2,3,GroupD,United States,hybrid,4,4.0,4
685478,3,8,GroupA,India,remote,9,2.0,1
637991,2,4,GroupA,Canada,onsite,4,4.0,2
988571,1,2,GroupA,Canada,hybrid,3,2.0,4
250990,1,3,GroupA,Canada,hybrid,5,3.0,2
993938,4,8,GroupA,United States,hybrid,19,2.0,2
410725,2,3,GroupB,United States,hybrid,7,4.0,4
507076,1,2,GroupA,United States,onsite,6,4.0,5
230533,3,5,GroupD,United States,hybrid,2,5.0,4
729485,2,10,GroupB,Canada,hybrid,11,5.0,3
767591,4,4,GroupA,Canada,hybrid,1,2.0,4
640313,4,5,GroupD,United States,hybrid,10,5.0,4
636995,1,3,GroupA,United States,hybrid,11,5.0,4
249656,3,6,GroupC,United States,onsite,12,2.0,5
104725,1,3,GroupB,Canada,hybrid,6,3.0,4
236550,3,4,GroupA,United States,remote,11,2.0,3
975762,2,4,GroupA,United States,hybrid,3,4.0,3
751581,1,2,GroupC,India,onsite,11,1.0,5
908836,3,9,GroupA,Canada,hybrid,1,3.0,4
138135,2,14,GroupA,Canada,remote,4,4.0,4
609532,4,10,GroupC,United States,onsite,19,2.0,3
941795,2,3,GroupA,Canada,hybrid,2,5.0,4
809251,2,2,GroupB,United States,onsite,9,3.0,5
209834,3,3,GroupC,India,onsite,18,1.0,4
466921,4,6,GroupC,United States,onsite,14,4.0,2
408075,1,3,GroupA,India,hybrid,6,1.0,5
791030,2,5,GroupA,United States,remote,5,1.0,4
845608,1,2,GroupA,India,hybrid,11,4.0,3
235444,3,2,GroupA,India,remote,10,5.0,4
566165,3,20,GroupA,Canada,onsite,6,4.0,3
474500,3,7,GroupA,India,hybrid,5,5.0,3
959571,1,6,GroupD,United States,hybrid,8,5.0,3
810704,2,1,GroupC,India,onsite,9,,4
249416,1,3,GroupA,United States,remote,4,4.0,3
731207,3,4,GroupA,United States,hybrid,6,3.0,3
595936,1,3,GroupC,United States,onsite,19,3.0,1
594335,3,7,GroupC,United States,onsite,8,2.0,1
893983,1,3,GroupA,United States,remote,6,4.0,5
749070,1,3,GroupA,United States,onsite,4,5.0,5
439025,2,2,GroupA,United States,hybrid,3,2.0,4
468520,1,4,GroupA,India,hybrid,9,2.0,2
657520,2,1,GroupA,United States,hybrid,5,,2
905388,1,4,GroupC,United States,onsite,13,4.0,2
897011,3,5,GroupD,United States,hybrid,2,2.0,3
276161,2,9,GroupA,Canada,hybrid,5,5.0,2
737083,2,3,GroupA,Canada,hybrid,1,1.0,4
718451,2,1,GroupA,United States,hybrid,5,,4
746461,2,4,GroupC,India,onsite,8,3.0,4
858599,1,6,GroupA,United States,hybrid,3,2.0,4
249492,2,1,GroupA,India,hybrid,1,,3
143606,1,2,GroupB,United States,onsite,6,4.0,5
503504,2,3,GroupA,United States,onsite,8,1.0,2
544815,1,2,GroupA,Canada,hybrid,6,4.0,5
310031,1,4,GroupA,Canada,hybrid,4,5.0,3
313295,2,5,GroupD,United States,remote,1,3.0,4
437457,2,4,GroupA,Canada,hybrid,5,4.0,5
877306,1,4,GroupA,Canada,hybrid,4,4.0,5
956014,1,3,GroupA,Canada,onsite,15,3.0,5
871227,1,3,GroupA,India,hybrid,1,1.0,3
144146,2,1,GroupD,United States,remote,9,,3
503381,1,2,GroupA,United States,onsite,3,3.0,3
962422,2,8,GroupA,Canada,onsite,6,4.0,2
651169,3,11,GroupC,United States,hybrid,10,5.0,3
223988,3,5,GroupB,United States,remote,10,1.0,3
254018,2,1,GroupB,United States,hybrid,4,,2
543587,4,4,GroupC,United States,onsite,10,2.0,2
456277,2,12,GroupB,United States,remote,6,3.0,5
118381,1,3,GroupA,India,onsite,9,5.0,2
920106,2,6,GroupA,Canada,hybrid,7,3.0,4
188663,2,4,GroupA,Canada,hybrid,7,2.0,3
508170,2,7,GroupB,United States,remote,5,4.0,4
759890,1,3,GroupC,India,onsite,13,3.0,3
260830,3,3,GroupA,United States,remote,5,2.0,5
432319,1,5,GroupA,United States,hybrid,6,4.0,3
847190,2,10,GroupA,United States,hybrid,8,5.0,2
701863,1,1,GroupC,United States,onsite,12,,1
617482,3,6,GroupA,India,remote,10,4.0,4
587397,2,2,GroupB,Canada,remote,3,3.0,3
100140,1,3,GroupA,Canada,remote,6,1.0,3
644218,2,8,GroupC,India,onsite,11,2.0,3
911544,1,3,GroupA,United States,hybrid,5,5.0,5
327042,1,4,GroupA,United States,remote,12,4.0,1
816635,2,3,GroupC,United States,hybrid,11,5.0,1
720140,1,6,GroupA,Canada,onsite,8,4.0,1
960835,2,2,GroupA,United States,hybrid,1,5.0,3
421932,2,3,GroupB,United States,hybrid,5,3.0,5
526724,3,6,GroupD,United States,hybrid,1,3.0,5
936826,1,2,GroupA,United States,hybrid,5,5.0,4
869191,1,1,GroupC,United States,onsite,16,,1
271751,1,5,GroupA,United States,remote,5,5.0,4
661308,1,2,GroupA,Canada,hybrid,1,4.0,4
912438,2,3,GroupA,Canada,onsite,6,5.0,4
682924,1,1,GroupA,India,remote,5,,5
456922,1,4,GroupB,United States,hybrid,8,3.0,5
197695,3,4,GroupA,India,hybrid,4,3.0,5
473668,3,2,GroupC,United States,onsite,9,2.0,5
675127,3,4,GroupB,United States,remote,7,5.0,3
671692,2,1,GroupA,United States,remote,5,,3
267132,1,1,GroupB,Canada,hybrid,9,,3
270217,2,1,GroupB,United States,hybrid,6,,4
491325,4,6,GroupA,Canada,hybrid,6,5.0,4
654796,1,2,GroupA,United States,hybrid,7,4.0,5
711792,3,6,GroupB,United States,onsite,4,4.0,5
645044,1,4,GroupA,United States,remote,6,2.0,4
727363,1,2,GroupA,India,hybrid,7,4.0,4
231176,2,4,GroupB,Canada,hybrid,8,3.0,2
878811,1,1,GroupC,United States,onsite,11,,2
184799,2,9,GroupA,India,onsite,1,5.0,3
113249,2,2,GroupC,India,hybrid,14,1.0,1
394527,3,7,GroupA,India,onsite,7,3.0,3
919491,2,7,GroupB,United States,onsite,3,2.0,4
427243,1,2,GroupA,India,hybrid,4,4.0,5
287245,1,3,GroupA,United States,remote,10,2.0,3
376260,1,2,GroupA,United States,hybrid,6,4.0,3
563354,1,3,GroupA,United States,onsite,5,4.0,4
354646,1,1,GroupA,Canada,onsite,8,,5
943893,1,4,GroupC,United States,onsite,13,2.0,3
953734,3,3,GroupB,United States,hybrid,9,4.0,5
469335,2,2,GroupA,India,hybrid,1,4.0,5
172370,1,1,GroupB,United States,onsite,8,,4
386714,2,10,GroupB,United States,remote,5,1.0,2
101100,2,2,GroupC,United States,onsite,12,1.0,2
132179,1,2,GroupC,United States,onsite,14,1.0,1
196522,2,5,GroupB,United States,onsite,4,2.0,2
970500,4,7,GroupA,United States,hybrid,9,4.0,1
860890,2,3,GroupA,India,hybrid,4,5.0,5
149052,1,5,GroupC,India,onsite,18,2.0,1
101932,1,1,GroupD,United States,remote,2,,5
655543,1,2,GroupC,India,onsite,10,2.0,2
931756,3,7,GroupC,United States,onsite,11,2.0,1
649469,1,3,GroupA,Canada,remote,5,3.0,5
957525,3,8,GroupA,Canada,hybrid,2,5.0,5
646215,1,2,GroupA,United States,remote,3,4.0,3
733843,2,5,GroupB,United States,hybrid,5,4.0,3
683155,1,6,GroupA,United States,hybrid,20,4.0,3
806954,2,6,GroupA,United States,hybrid,4,2.0,2
509757,3,7,GroupB,United States,hybrid,6,5.0,5
617553,2,6,GroupB,Canada,remote,6,4.0,4
837515,2,4,GroupA,United States,hybrid,1,2.0,4
638393,3,4,GroupA,India,hybrid,9,4.0,5
815438,1,2,GroupA,Canada,onsite,7,2.0,4
831980,1,1,GroupC,United States,onsite,15,,2
205494,1,2,GroupA,India,hybrid,6,4.0,4
241120,1,2,GroupA,United States,onsite,6,3.0,5
646678,1,2,GroupB,United States,hybrid,6,3.0,3
856830,2,4,GroupB,United States,hybrid,7,4.0,4
379633,2,6,GroupB,United States,remote,6,4.0,2
407659,2,1,GroupD,United States,hybrid,4,,5
141679,2,1,GroupA,India,onsite,9,,5
343933,1,1,GroupB,United States,onsite,5,,4
725781,3,4,GroupA,Canada,remote,5,4.0,5
375195,1,3,GroupB,United States,onsite,8,2.0,4
142605,1,2,GroupB,Canada,hybrid,5,4.0,4
682507,2,4,GroupA,India,hybrid,8,5.0,4
532366,1,2,GroupA,Canada,hybrid,4,5.0,4
966060,1,1,GroupA,Canada,remote,12,,3
154690,2,4,GroupA,Canada,remote,4,4.0,4
714343,4,6,GroupD,United States,hybrid,3,4.0,5
968450,1,4,GroupC,United States,onsite,12,1.0,2
679202,1,3,GroupB,Canada,hybrid,2,5.0,4
242140,1,4,GroupB,United States,hybrid,5,1.0,3
128960,1,2,GroupB,United States,hybrid,6,3.0,5
250397,1,1,GroupC,India,onsite,13,,2
648289,1,3,GroupC,United States,onsite,9,3.0,2
688072,2,3,GroupA,India,hybrid,5,5.0,4
714301,1,2,GroupB,Canada,onsite,7,1.0,4
701533,1,4,GroupB,United States,remote,8,1.0,3
312638,1,6,GroupC,United States,onsite,12,4.0,3
103557,1,1,GroupA,United States,hybrid,11,,2
234307,1,3,GroupC,United States,hybrid,20,1.0,4
336891,2,3,GroupA,India,hybrid,5,5.0,4
832432,1,2,GroupA,United States,remote,16,3.0,2
372283,1,2,GroupC,United States,onsite,13,3.0,3
255209,1,3,GroupA,Canada,onsite,4,4.0,4
915947,1,3,GroupB,United States,onsite,4,4.0,3
984199,1,3,GroupA,Canada,hybrid,8,4.0,3
258685,2,3,GroupA,Canada,remote,4,5.0,5
711121,1,2,GroupA,United States,remote,5,5.0,4
676965,1,7,GroupA,India,hybrid,6,2.0,3
337703,1,1,GroupA,Canada,remote,1,,1
642009,1,2,GroupA,Canada,hybrid,13,4.0,5
446307,1,1,GroupC,United States,hybrid,6,,2
355361,2,8,GroupC,United States,onsite,8,3.0,4
790421,2,8,GroupA,India,hybrid,5,1.0,1
472223,1,2,GroupB,Canada,hybrid,8,3.0,4
603322,3,5,GroupA,India,onsite,4,4.0,5
169777,2,1,GroupA,United States,remote,1,,4
254869,1,3,GroupA,India,hybrid,8,3.0,2
836727,1,2,GroupA,India,remote,16,5.0,4
514255,3,5,GroupB,United States,remote,6,4.0,5
670153,2,7,GroupA,India,hybrid,4,3.0,4
636395,2,2,GroupC,United States,onsite,11,1.0,1
281377,2,5,GroupA,Canada,remote,11,5.0,3
764145,1,3,GroupA,India,hybrid,16,1.0,5
138466,3,3,GroupA,India,hybrid,5,5.0,4
212904,2,3,GroupA,United States,remote,8,5.0,5
898351,2,2,GroupA,India,remote,9,5.0,5
621912,1,1,GroupC,United States,onsite,2,,4
965781,2,8,GroupC,United States,onsite,12,1.0,3
771532,3,8,GroupC,India,onsite,10,4.0,2
813649,1,3,GroupA,United States,hybrid,7,2.0,2
245206,1,4,GroupB,United States,remote,7,4.0,2
161862,4,4,GroupA,Canada,hybrid,5,5.0,4
590950,2,3,GroupB,United States,hybrid,8,2.0,4
155106,1,1,GroupA,India,hybrid,8,,2
685395,3,8,GroupC,United States,onsite,13,1.0,2
507098,1,4,GroupA,India,remote,3,5.0,3
480933,1,4,GroupA,United States,hybrid,8,4.0,5
392834,1,8,GroupC,United States,onsite,8,4.0,4
808116,2,9,GroupB,United States,hybrid,7,3.0,1
511233,1,5,GroupA,United States,onsite,9,2.0,3
241387,1,1,GroupA,India,remote,3,,5
586676,3,7,GroupA,Canada,onsite,10,1.0,1
350317,4,4,GroupB,United States,hybrid,16,2.0,5
366200,1,3,GroupD,United States,remote,1,4.0,3
800961,1,2,GroupA,India,hybrid,6,5.0,2
399618,2,3,GroupC,United States,onsite,14,2.0,2
215537,4,3,GroupC,United States,onsite,11,2.0,1
166959,1,1,GroupA,India,hybrid,7,,5
893369,2,9,GroupA,United States,remote,6,4.0,2
143253,2,8,GroupA,Canada,remote,10,3.0,3
864056,1,1,GroupA,United States,hybrid,8,,1
930995,1,1,GroupB,United States,hybrid,4,,5
101598,2,2,GroupA,India,onsite,2,1.0,5
482343,1,1,GroupA,India,onsite,4,,5
280341,3,5,GroupA,India,remote,5,2.0,4
427940,3,1,GroupC,United States,onsite,17,,1
101567,2,1,GroupB,United States,remote,18,,3
645705,2,9,GroupB,United States,onsite,5,3.0,3
256674,1,6,GroupA,United States,hybrid,4,4.0,4
569028,1,4,GroupC,India,hybrid,14,5.0,3
153775,3,5,GroupA,United States,hybrid,1,4.0,3
473873,1,3,GroupB,United States,remote,1,1.0,4
575782,1,1,GroupB,Canada,hybrid,3,,5
898153,2,2,GroupB,Canada,hybrid,5,3.0,1
320691,1,1,GroupA,United States,remote,3,,4
878450,1,3,GroupA,Canada,remote,4,3.0,5
567932,2,9,GroupC,United States,onsite,11,1.0,1
342880,4,7,GroupA,Canada,hybrid,8,5.0,4
852168,1,2,GroupA,Canada,hybrid,6,2.0,4
210656,3,12,GroupA,India,onsite,8,3.0,3
761883,2,2,GroupB,United States,hybrid,11,3.0,4
717142,2,3,GroupD,United States,remote,1,4.0,5
909463,3,4,GroupA,United States,hybrid,3,5.0,2
511721,2,5,GroupC,United States,onsite,9,1.0,1
988947,3,5,GroupC,United States,onsite,14,2.0,1
836843,1,5,GroupA,India,remote,5,3.0,4
588353,2,3,GroupC,United States,onsite,11,3.0,3
272543,1,2,GroupA,India,remote,6,4.0,4
725083,3,7,GroupA,Canada,hybrid,13,4.0,4
768206,2,1,GroupA,India,hybrid,2,,4
733488,1,4,GroupB,Canada,hybrid,1,3.0,3
814298,3,6,GroupC,United States,onsite,11,4.0,1
951300,1,2,GroupA,India,hybrid,7,3.0,5
738551,1,6,GroupA,India,hybrid,6,3.0,3
312298,1,3,GroupB,United States,hybrid,5,5.0,2
980947,1,5,GroupA,Canada,hybrid,6,1.0,4
762768,1,3,GroupA,Canada,hybrid,10,5.0,1
815362,1,7,GroupA,India,hybrid,11,1.0,3
459834,3,6,GroupC,India,onsite,13,3.0,1
825946,1,4,GroupA,Canada,hybrid,8,4.0,5
319120,1,1,GroupA,Canada,onsite,8,,4
470221,1,4,GroupB,United States,hybrid,5,2.0,3
164052,1,4,GroupB,Canada,remote,8,1.0,5
873475,3,6,GroupA,Canada,hybrid,9,4.0,2
328455,1,2,GroupA,United States,hybrid,4,3.0,2
631413,2,2,GroupA,India,remote,11,5.0,5
985611,1,1,GroupC,United States,onsite,13,,1
180684,1,6,GroupC,United States,onsite,10,2.0,5
140161,2,2,GroupA,Canada,hybrid,7,4.0,5
510440,4,9,GroupB,Canada,remote,4,2.0,5
508847,1,3,GroupC,India,onsite,13,3.0,2
614095,1,1,GroupA,India,remote,12,,5
387788,1,1,GroupA,India,onsite,5,,3
100265,1,2,GroupA,Canada,hybrid,3,4.0,4
233288,1,1,GroupD,United States,hybrid,3,,4
304043,2,2,GroupB,United States,hybrid,5,4.0,5
834086,1,2,GroupC,United States,onsite,15,3.0,2
789560,2,1,GroupA,United States,remote,2,,5
751544,1,3,GroupB,United States,hybrid,4,2.0,4
502749,2,2,GroupB,United States,remote,10,4.0,5
972000,2,3,GroupB,Canada,hybrid,3,5.0,5
783358,1,1,GroupA,Canada,hybrid,4,,5
292627,2,7,GroupB,United States,remote,8,3.0,4
570613,1,4,GroupA,Canada,onsite,3,3.0,2
390887,2,2,GroupA,India,remote,8,4.0,4
756033,1,3,GroupA,United States,remote,4,2.0,5
450900,2,2,GroupC,United States,onsite,13,4.0,3
301268,3,10,GroupA,Canada,remote,3,5.0,2
998667,1,1,GroupD,United States,hybrid,2,,3
243554,1,1,GroupA,United States,hybrid,6,,4
895959,1,3,GroupA,India,remote,7,5.0,4
266733,1,1,GroupD,United States,remote,2,,4
759139,4,5,GroupB,United States,remote,6,2.0,5
394063,3,4,GroupC,United States,onsite,10,3.0,3
784472,3,7,GroupA,Canada,remote,5,4.0,4
620098,1,1,GroupC,United States,onsite,13,,2
346941,2,1,GroupC,India,hybrid,10,,3
796524,3,6,GroupA,Canada,remote,7,4.0,3
262784,3,13,GroupA,United States,remote,9,5.0,2
929783,2,1,GroupB,United States,hybrid,5,,4
405198,1,3,GroupA,Canada,remote,9,4.0,4
853015,1,2,GroupB,United States,hybrid,6,3.0,5
385781,3,10,GroupB,United States,hybrid,7,3.0,5
476177,1,1,GroupA,Canada,remote,6,,5
712450,4,8,GroupB,Canada,hybrid,6,3.0,2
302216,1,3,GroupA,United States,onsite,14,2.0,3
878774,1,3,GroupA,Canada,hybrid,5,3.0,2
145935,1,1,GroupA,United States,hybrid,4,,2
631478,1,2,GroupC,India,onsite,12,2.0,1
917914,1,5,GroupA,United States,hybrid,14,4.0,4
231319,2,6,GroupC,United States,onsite,14,4.0,2
275613,2,4,GroupC,United States,onsite,12,1.0,2
210695,1,4,GroupC,India,onsite,12,2.0,3
540644,1,2,GroupB,United States,hybrid,7,2.0,5
893213,1,3,GroupA,United States,remote,2,4.0,4
299626,1,1,GroupA,United States,onsite,7,,5
252468,1,1,GroupB,United States,onsite,6,,3
337247,2,1,GroupA,United States,remote,2,,4
128951,2,2,GroupA,United States,onsite,11,3.0,4
651689,1,4,GroupA,Canada,hybrid,17,4.0,4
848806,3,1,GroupC,United States,hybrid,16,,1
137173,1,3,GroupA,India,hybrid,3,1.0,1
874235,2,8,GroupA,United States,remote,4,5.0,2
721825,4,1,GroupB,United States,onsite,7,,3
311188,2,7,GroupB,Canada,remote,4,5.0,1
981285,1,2,GroupB,United States,remote,14,4.0,5
236550,2,10,GroupA,Canada,hybrid,3,5.0,4
415452,1,3,GroupA,Canada,onsite,2,3.0,2
999653,1,4,GroupC,India,onsite,9,1.0,2
638899,2,2,GroupC,United States,onsite,15,5.0,3
389185,2,8,GroupA,India,onsite,3,1.0,1
434527,1,3,GroupA,United States,hybrid,5,2.0,5
116032,3,8,GroupB,United States,onsite,9,2.0,4
443682,2,12,GroupA,Canada,remote,4,4.0,1
185584,2,5,GroupD,United States,hybrid,2,4.0,5
578724,1,3,GroupA,India,hybrid,5,2.0,5
168808,3,6,GroupB,United States,onsite,3,3.0,1
198016,1,4,GroupC,United States,onsite,17,2.0,4
700727,2,2,GroupB,United States,remote,7,3.0,5
556983,1,1,GroupC,United States,onsite,17,,4
296075,1,1,GroupC,India,hybrid,11,,1
476957,1,1,GroupB,United States,onsite,5,,4
250514,2,2,GroupB,United States,hybrid,4,4.0,4
173943,2,7,GroupA,Canada,hybrid,7,1.0,3
140036,3,7,GroupB,United States,remote,3,3.0,1
971139,1,2,GroupB,United States,hybrid,5,3.0,4
860668,2,1,GroupB,United States,hybrid,5,,4
838679,1,1,GroupA,Canada,onsite,14,,3
217981,3,4,GroupC,India,onsite,7,3.0,1
490133,1,2,GroupA,Canada,remote,5,1.0,5
577652,3,5,GroupC,United States,onsite,13,1.0,2
